Unnamed: 0,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferredOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromLastYear,OrderCount,DaySinceLastOrder,CashbackAmount
1768,4,Desktop,0,0,Pay on Delivery,Female,0,1,Others,3,0,2.0,1,0.0,1,141.0,0.0
954,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,1,0.0,0,0.0,0.0
1459,11,Desktop,0,0,Bank Transfer Payment,Male,0,1,Home Appliances,1,0,1.0,1,0.0,5,50.0,0.0
565,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
499,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,0,0.0,0,0.0,0.0
1116,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
820,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
1240,12,Desktop,0,0,Installment,Female,0,1,Beauty & Fitness,2,0,1.0,0,0.0,2,65.0,0.0
2081,2,Desktop,0,0,Mips,Male,0,1,Home Appliances,5,0,1.0,0,0.0,1,88.0,0.0
1822,4,Desktop,0,0,Pay Now,Male,0,1,Beauty & Fitness,4,0,3.0,0,0.0,1,129.0,0.0
2044,3,Desktop,0,0,Installment,Female,0,1,Electronics,1,0,2.0,0,0.0,5,97.0,41486.0
452,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0.0,1,0.0,0,0.0,0.0
664,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
1382,12,Desktop,0,0,Installment,Female,0,1,Home Appliances,2,0,1.0,1,0.0,4,73.0,0.0
334,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
105,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
1376,12,Desktop,0,0,Mips,Female,0,1,Electronics,2,0,2.0,0,0.0,1,120.0,0.0
495,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
970,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,0,0.0,0,0.0,0.0
1508,8,Desktop,0,0,Pay on Delivery,Male,0,1,Home Appliances,3,0,1.0,1,0.0,1,57.0,0.0
1528,7,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,4,0,1.0,1,0.0,2,57.0,0.0
385,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0.0,0,0.0,0,0.0,0.0
271,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,0,0.0,0,0.0,0.0
1615,5,Desktop,0,0,Pay Now,Male,0,1,Home Appliances,5,0,2.0,1,0.0,1,169.0,0.0
166,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0.0,0,0.0,0,0.0,0.0
121,12,Desktop,0,0,Pay Now,Male,0,1,Home Appliances,2,0,2.0,0,0.0,1,250.0,0.0
154,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0.0,0,0.0,0,0.0,0.0
1614,5,Desktop,0,0,Mips,Male,0,1,Electronics,2,0,1.0,0,0.0,1,169.0,0.0
1569,5,Desktop,0,0,Pay Now,Female,0,1,Home Appliances,4,0,1.0,0,0.0,1,180.0,0.0
1653,5,Desktop,0,0,Pay Now,Female,0,1,Home Appliances,2,0,2.0,1,0.0,1,163.0,0.0
46,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0.0,0,0.0,0,0.0,0.0
2178,2,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,4,0,2.0,1,0.0,3,67.0,9989.0
44,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
1123,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,0,0.0,0,0.0,0.0
1752,4,Desktop,0,0,Installment,Female,0,1,Electronics,4,0,1.0,0,0.0,3,58.0,0.0
1232,12,Desktop,0,0,Pay Now,Female,0,1,Home Appliances,4,0,1.0,1,0.0,1,148.0,0.0
1184,12,Desktop,0,0,Installment,Female,0,1,Home Appliances,4,0,2.0,0,0.0,1,176.0,0.0
1805,4,Desktop,0,0,Installment,Female,0,1,Electronics,1,0,1.0,1,0.0,2,132.0,49985.0
120,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,0,0.0,0,0.0,0.0
1791,4,Desktop,0,0,Bank Transfer Payment,Male,0,1,Electronics,4,0,1.0,1,0.0,1,136.0,0.0
474,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,0,0.0,0,0.0,0.0
726,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
1388,12,Desktop,0,0,Pay on Delivery,Female,0,1,Electronics,5,0,3.0,1,0.0,15,148.0,0.0
1167,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0.0,1,0.0,0,0.0,0.0
2040,3,Desktop,0,0,Installment,Male,0,1,Electronics,5,0,2.0,0,0.0,2,98.0,7989.0
1732,4,Desktop,0,0,Pay Now,Female,0,1,Electronics,5,0,2.0,0,0.0,1,147.0,0.0
1878,3,Desktop,0,0,Bank Transfer Payment,Male,0,1,Electronics,3,0,1.0,1,0.0,1,120.0,0.0
1548,6,Desktop,0,0,Pay Now,Male,0,1,Home Appliances,4,0,1.0,0,0.0,2,173.0,0.0
1867,4,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,5,0,1.0,0,0.0,4,123.0,9989.0
709,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
1119,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
1698,5,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,3,0,3.0,0,0.0,3,148.0,0.0
185,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
1278,12,Desktop,0,0,Pay Now,Female,0,1,Home Appliances,3,0,0.0,0,0.0,1,127.0,0.0
468,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
290,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,1,0.0,0,0.0,0.0
1503,8,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,4,0,2.0,1,0.0,1,72.0,0.0
188,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
1294,12,Desktop,0,0,Bank Transfer Payment,Female,0,1,Electronics,2,0,1.0,1,0.0,1,99.0,0.0
1898,3,Desktop,0,0,Pay Now,Male,0,1,Electronics,3,0,1.0,0,0.0,1,119.0,0.0
2192,2,Desktop,0,0,Installment,Female,0,1,Electronics,2,0,1.0,1,0.0,1,62.0,0.0
1759,4,Desktop,0,0,Installment,Female,0,1,Electronics,5,0,2.0,1,0.0,3,142.0,0.0
1337,12,Desktop,0,0,Pay Now,Female,0,1,Electronics,2,0,1.0,0,0.0,1,115.0,0.0
2284,1,Desktop,0,0,Pay Now,Female,0,1,Others,3,0,1.0,0,0.0,1,40.0,0.0
1257,12,Desktop,0,0,Pay Now,Female,0,1,Others,3,0,1.0,1,0.0,1,64.0,0.0
878,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
1197,12,Desktop,0,0,Installment,Female,0,1,Electronics,4,0,2.0,0,0.0,1,99.0,0.0
137,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
